ID	gene
REACTOME_SIGNALING_BY_RHO_GTPASES	121512
REACTOME_SIGNALING_BY_RHO_GTPASES	54509
REACTOME_SIGNALING_BY_RHO_GTPASES	81624
REACTOME_SIGNALING_BY_RHO_GTPASES	10499
REACTOME_SIGNALING_BY_RHO_GTPASES	8826
REACTOME_SIGNALING_BY_RHO_GTPASES	55114
REACTOME_SIGNALING_BY_RHO_GTPASES	89941
REACTOME_SIGNALING_BY_RHO_GTPASES	5170
REACTOME_SIGNALING_BY_RHO_GTPASES	84643
REACTOME_SIGNALING_BY_RHO_GTPASES	396
REACTOME_SIGNALING_BY_RHO_GTPASES	7409
REACTOME_SIGNALING_BY_RHO_GTPASES	354
REACTOME_SIGNALING_BY_RHO_GTPASES	128272
REACTOME_SIGNALING_BY_RHO_GTPASES	23421
REACTOME_SIGNALING_BY_RHO_GTPASES	11004
REACTOME_SIGNALING_BY_RHO_GTPASES	83540
REACTOME_SIGNALING_BY_RHO_GTPASES	6279
REACTOME_SIGNALING_BY_RHO_GTPASES	388
REACTOME_SIGNALING_BY_RHO_GTPASES	51143
REACTOME_SIGNALING_BY_RHO_GTPASES	1060
REACTOME_SIGNALING_BY_RHO_GTPASES	10788
REACTOME_SIGNALING_BY_RHO_GTPASES	23092
REACTOME_SIGNALING_BY_RHO_GTPASES	255626
REACTOME_SIGNALING_BY_RHO_GTPASES	221472
REACTOME_SIGNALING_BY_RHO_GTPASES	93663
REACTOME_SIGNALING_BY_RHO_GTPASES	26230
REACTOME_SIGNALING_BY_RHO_GTPASES	1730
REACTOME_SIGNALING_BY_RHO_GTPASES	158763
REACTOME_SIGNALING_BY_RHO_GTPASES	80728
REACTOME_SIGNALING_BY_RHO_GTPASES	5058
REACTOME_SIGNALING_BY_RHO_GTPASES	3619
REACTOME_SIGNALING_BY_RHO_GTPASES	79980
REACTOME_SIGNALING_BY_RHO_GTPASES	3688
REACTOME_SIGNALING_BY_RHO_GTPASES	79682
REACTOME_SIGNALING_BY_RHO_GTPASES	112714
REACTOME_SIGNALING_BY_RHO_GTPASES	57405
REACTOME_SIGNALING_BY_RHO_GTPASES	64946
REACTOME_SIGNALING_BY_RHO_GTPASES	5903
REACTOME_SIGNALING_BY_RHO_GTPASES	25909
REACTOME_SIGNALING_BY_RHO_GTPASES	5529
REACTOME_SIGNALING_BY_RHO_GTPASES	5578
REACTOME_SIGNALING_BY_RHO_GTPASES	84033
REACTOME_SIGNALING_BY_RHO_GTPASES	9184
REACTOME_SIGNALING_BY_RHO_GTPASES	220134
REACTOME_SIGNALING_BY_RHO_GTPASES	389
REACTOME_SIGNALING_BY_RHO_GTPASES	3798
REACTOME_SIGNALING_BY_RHO_GTPASES	7074
REACTOME_SIGNALING_BY_RHO_GTPASES	701
REACTOME_SIGNALING_BY_RHO_GTPASES	6396
REACTOME_SIGNALING_BY_RHO_GTPASES	114793
REACTOME_SIGNALING_BY_RHO_GTPASES	4690
REACTOME_SIGNALING_BY_RHO_GTPASES	114822
REACTOME_SIGNALING_BY_RHO_GTPASES	10163
REACTOME_SIGNALING_BY_RHO_GTPASES	3017
REACTOME_SIGNALING_BY_RHO_GTPASES	995
REACTOME_SIGNALING_BY_RHO_GTPASES	8365
REACTOME_SIGNALING_BY_RHO_GTPASES	653361
REACTOME_SIGNALING_BY_RHO_GTPASES	1780
REACTOME_SIGNALING_BY_RHO_GTPASES	201176
REACTOME_SIGNALING_BY_RHO_GTPASES	29
REACTOME_SIGNALING_BY_RHO_GTPASES	2909
REACTOME_SIGNALING_BY_RHO_GTPASES	8997
REACTOME_SIGNALING_BY_RHO_GTPASES	7410
REACTOME_SIGNALING_BY_RHO_GTPASES	29941
REACTOME_SIGNALING_BY_RHO_GTPASES	57551
REACTOME_SIGNALING_BY_RHO_GTPASES	11243
REACTOME_SIGNALING_BY_RHO_GTPASES	1857
REACTOME_SIGNALING_BY_RHO_GTPASES	91010
REACTOME_SIGNALING_BY_RHO_GTPASES	29127
REACTOME_SIGNALING_BY_RHO_GTPASES	147841
REACTOME_SIGNALING_BY_RHO_GTPASES	10092
REACTOME_SIGNALING_BY_RHO_GTPASES	3020
REACTOME_SIGNALING_BY_RHO_GTPASES	9938
REACTOME_SIGNALING_BY_RHO_GTPASES	6280
REACTOME_SIGNALING_BY_RHO_GTPASES	10109
REACTOME_SIGNALING_BY_RHO_GTPASES	151246
REACTOME_SIGNALING_BY_RHO_GTPASES	23122
REACTOME_SIGNALING_BY_RHO_GTPASES	5580
REACTOME_SIGNALING_BY_RHO_GTPASES	50650
REACTOME_SIGNALING_BY_RHO_GTPASES	3015
REACTOME_SIGNALING_BY_RHO_GTPASES	4085
REACTOME_SIGNALING_BY_RHO_GTPASES	117289
REACTOME_SIGNALING_BY_RHO_GTPASES	10395
REACTOME_SIGNALING_BY_RHO_GTPASES	7534
REACTOME_SIGNALING_BY_RHO_GTPASES	1536
REACTOME_SIGNALING_BY_RHO_GTPASES	94134
REACTOME_SIGNALING_BY_RHO_GTPASES	55701
REACTOME_SIGNALING_BY_RHO_GTPASES	143872
REACTOME_SIGNALING_BY_RHO_GTPASES	55839
REACTOME_SIGNALING_BY_RHO_GTPASES	5579
REACTOME_SIGNALING_BY_RHO_GTPASES	81565
REACTOME_SIGNALING_BY_RHO_GTPASES	5347
REACTOME_SIGNALING_BY_RHO_GTPASES	7529
REACTOME_SIGNALING_BY_RHO_GTPASES	7846
REACTOME_SIGNALING_BY_RHO_GTPASES	84790
REACTOME_SIGNALING_BY_RHO_GTPASES	94274
REACTOME_SIGNALING_BY_RHO_GTPASES	3817
REACTOME_SIGNALING_BY_RHO_GTPASES	79003
REACTOME_SIGNALING_BY_RHO_GTPASES	1499
REACTOME_SIGNALING_BY_RHO_GTPASES	399
REACTOME_SIGNALING_BY_RHO_GTPASES	367
REACTOME_SIGNALING_BY_RHO_GTPASES	5747
REACTOME_SIGNALING_BY_RHO_GTPASES	699
REACTOME_SIGNALING_BY_RHO_GTPASES	5881
