pathway	entrezgene	hgnc_symbol
REACTOME_SIGNALING_BY_RHO_GTPASES	9828	ARHGEF17
REACTOME_SIGNALING_BY_RHO_GTPASES	4928	NUP98
REACTOME_SIGNALING_BY_RHO_GTPASES	10094	ARPC3
REACTOME_SIGNALING_BY_RHO_GTPASES	1027	CDKN1B
REACTOME_SIGNALING_BY_RHO_GTPASES	397	ARHGDIB
REACTOME_SIGNALING_BY_RHO_GTPASES	57122	NUP107
REACTOME_SIGNALING_BY_RHO_GTPASES	1432	MAPK14
REACTOME_SIGNALING_BY_RHO_GTPASES	8936	WASF1
REACTOME_SIGNALING_BY_RHO_GTPASES	5528	PPP2R5D
REACTOME_SIGNALING_BY_RHO_GTPASES	6722	SRF
REACTOME_SIGNALING_BY_RHO_GTPASES	5924	RASGRF2
REACTOME_SIGNALING_BY_RHO_GTPASES	5515	PPP2CA
REACTOME_SIGNALING_BY_RHO_GTPASES	1894	ECT2
REACTOME_SIGNALING_BY_RHO_GTPASES	26084	ARHGEF26
REACTOME_SIGNALING_BY_RHO_GTPASES	6242	RTKN
REACTOME_SIGNALING_BY_RHO_GTPASES	10096	ACTR3
REACTOME_SIGNALING_BY_RHO_GTPASES	1058	CENPA
REACTOME_SIGNALING_BY_RHO_GTPASES	6654	SOS1
REACTOME_SIGNALING_BY_RHO_GTPASES	7456	WIPF1
REACTOME_SIGNALING_BY_RHO_GTPASES	58480	RHOU
REACTOME_SIGNALING_BY_RHO_GTPASES	9181	ARHGEF2
REACTOME_SIGNALING_BY_RHO_GTPASES	4688	NCF2
REACTOME_SIGNALING_BY_RHO_GTPASES	991	CDC20
REACTOME_SIGNALING_BY_RHO_GTPASES	25936	NSL1
REACTOME_SIGNALING_BY_RHO_GTPASES	1063	CENPF
REACTOME_SIGNALING_BY_RHO_GTPASES	9928	KIF14
REACTOME_SIGNALING_BY_RHO_GTPASES	103910	MYL12B
REACTOME_SIGNALING_BY_RHO_GTPASES	23433	RHOQ
REACTOME_SIGNALING_BY_RHO_GTPASES	10672	GNA13
REACTOME_SIGNALING_BY_RHO_GTPASES	348995	NUP43
REACTOME_SIGNALING_BY_RHO_GTPASES	64411	ARAP3
REACTOME_SIGNALING_BY_RHO_GTPASES	91687	CENPL
REACTOME_SIGNALING_BY_RHO_GTPASES	81930	KIF18A
REACTOME_SIGNALING_BY_RHO_GTPASES	91614	DEPDC7
REACTOME_SIGNALING_BY_RHO_GTPASES	4952	OCRL
REACTOME_SIGNALING_BY_RHO_GTPASES	644150	WIPF3
REACTOME_SIGNALING_BY_RHO_GTPASES	11130	ZWINT
REACTOME_SIGNALING_BY_RHO_GTPASES	11113	CIT
REACTOME_SIGNALING_BY_RHO_GTPASES	5585	PKN1
REACTOME_SIGNALING_BY_RHO_GTPASES	64105	CENPK
REACTOME_SIGNALING_BY_RHO_GTPASES	64333	ARHGAP9
REACTOME_SIGNALING_BY_RHO_GTPASES	3071	NCKAP1L
REACTOME_SIGNALING_BY_RHO_GTPASES	10376	TUBA1B
REACTOME_SIGNALING_BY_RHO_GTPASES	80776	B9D2
REACTOME_SIGNALING_BY_RHO_GTPASES	57580	PREX1
REACTOME_SIGNALING_BY_RHO_GTPASES	343578	ARHGAP40
REACTOME_SIGNALING_BY_RHO_GTPASES	8970	HIST1H2BJ
REACTOME_SIGNALING_BY_RHO_GTPASES	79902	NUP85
REACTOME_SIGNALING_BY_RHO_GTPASES	9322	TRIP10
REACTOME_SIGNALING_BY_RHO_GTPASES	3831	KLC1
REACTOME_SIGNALING_BY_RHO_GTPASES	23263	MCF2L
REACTOME_SIGNALING_BY_RHO_GTPASES	3895	KTN1
REACTOME_SIGNALING_BY_RHO_GTPASES	57381	RHOJ
REACTOME_SIGNALING_BY_RHO_GTPASES	55288	RHOT1
REACTOME_SIGNALING_BY_RHO_GTPASES	89846	FGD3
REACTOME_SIGNALING_BY_RHO_GTPASES	5300	PIN1
REACTOME_SIGNALING_BY_RHO_GTPASES	7277	TUBA4A
REACTOME_SIGNALING_BY_RHO_GTPASES	7533	YWHAH
REACTOME_SIGNALING_BY_RHO_GTPASES	5880	RAC2
REACTOME_SIGNALING_BY_RHO_GTPASES	1123	CHN1
REACTOME_SIGNALING_BY_RHO_GTPASES	58504	ARHGAP22
REACTOME_SIGNALING_BY_RHO_GTPASES	9459	ARHGEF6
REACTOME_SIGNALING_BY_RHO_GTPASES	151648	SGO1
REACTOME_SIGNALING_BY_RHO_GTPASES	9754	STARD8
REACTOME_SIGNALING_BY_RHO_GTPASES	10095	ARPC1B
REACTOME_SIGNALING_BY_RHO_GTPASES	27237	ARHGEF16
REACTOME_SIGNALING_BY_RHO_GTPASES	6249	CLIP1
REACTOME_SIGNALING_BY_RHO_GTPASES	23229	ARHGEF9
REACTOME_SIGNALING_BY_RHO_GTPASES	1729	DIAPH1
REACTOME_SIGNALING_BY_RHO_GTPASES	85415	RHPN2
REACTOME_SIGNALING_BY_RHO_GTPASES	3021	H3F3B
REACTOME_SIGNALING_BY_RHO_GTPASES	1742	DLG4
REACTOME_SIGNALING_BY_RHO_GTPASES	9826	ARHGEF11
REACTOME_SIGNALING_BY_RHO_GTPASES	10810	WASF3
REACTOME_SIGNALING_BY_RHO_GTPASES	4628	MYH10
REACTOME_SIGNALING_BY_RHO_GTPASES	90627	STARD13
REACTOME_SIGNALING_BY_RHO_GTPASES	4629	MYH11
REACTOME_SIGNALING_BY_RHO_GTPASES	4221	MEN1
REACTOME_SIGNALING_BY_RHO_GTPASES	10451	VAV3
REACTOME_SIGNALING_BY_RHO_GTPASES	10971	YWHAQ
REACTOME_SIGNALING_BY_RHO_GTPASES	9475	ROCK2
REACTOME_SIGNALING_BY_RHO_GTPASES	55143	CDCA8
REACTOME_SIGNALING_BY_RHO_GTPASES	9743	ARHGAP32
REACTOME_SIGNALING_BY_RHO_GTPASES	1783	DYNC1LI2
REACTOME_SIGNALING_BY_RHO_GTPASES	50649	ARHGEF4
REACTOME_SIGNALING_BY_RHO_GTPASES	5879	RAC1
REACTOME_SIGNALING_BY_RHO_GTPASES	10006	ABI1
REACTOME_SIGNALING_BY_RHO_GTPASES	84904	ARHGEF39
REACTOME_SIGNALING_BY_RHO_GTPASES	89953	KLC4
REACTOME_SIGNALING_BY_RHO_GTPASES	7280	TUBB2A
REACTOME_SIGNALING_BY_RHO_GTPASES	347733	TUBB2B
REACTOME_SIGNALING_BY_RHO_GTPASES	5519	PPP2R1B
REACTOME_SIGNALING_BY_RHO_GTPASES	57569	ARHGAP20
REACTOME_SIGNALING_BY_RHO_GTPASES	57082	KNL1
REACTOME_SIGNALING_BY_RHO_GTPASES	9411	ARHGAP29
