nodes	type
XAB2	Gene
SNRPA	Gene
THOC1	Gene
PPIE	Gene
WBP11	Gene
SEH1L	Gene
CHERP	Gene
RBM22	Gene
SRRT	Gene
SF3B2	Gene
FUS	Gene
PDCD7	Gene
HNRNPC	Gene
NUP50	Gene
AAAS	Gene
NUP188	Gene
CDC5L	Gene
HNRNPM	Gene
POLR2E	Gene
SF3A1	Gene
SNRPD3	Gene
TFIP11	Gene
SNU13	Gene
POLR2F	Gene
POLDIP3	Gene
THOC5	Gene
ZMAT5	Gene
PHF5A	Gene
SNW1	Gene
SRSF5	Gene
PABPN1	Gene
CSTF1	Gene
RAE1	Gene
PRPF6	Gene
CRNKL1	Gene
CSTF2	Gene
LUZP4	Gene
PQBP1	Gene
NUP93	Gene
POLR2C	Gene
HNRNPL	Gene
SNRNP70	Gene
SF3A2	Gene
POLR2I	Gene
HNRNPUL1	Gene
PRPF31	Gene
SUGP1	Gene
BUD31	Gene
LSM5	Gene
ELAVL2	Gene
CASC3	Gene
NUP88	Gene
DDX5	Gene
EFTUD2	Gene
DHX15	Gene
HSPA8	Gene
PRPF19	Gene
NUP98	Gene
MAGOHB	Gene
NUP107	Gene
SRSF9	Gene
SRSF3	Gene
NUP155	Gene
PPWD1	Gene
NCBP2	Gene
SF3B6	Gene
SF3B1	Gene
SRSF7	Gene
SRSF4	Gene
BCAS2	Gene
SRSF11	Gene
PRPF3	Gene
SYF2	Gene
CPSF3	Gene
GLE1	Gene
SMNDC1	Gene
NUP43	Gene
WBP4	Gene
FYTTD1	Gene
HNRNPA2B1	Gene
DDX39A	Gene
SRSF6	Gene
SNRNP27	Gene
SNRPC	Gene
NUP153	Gene
UPF3B	Gene
NUP85	Gene
GTF2F1	Gene
THOC2	Gene
SNRPD2	Gene
SYMPK	Gene
SNRPB	Gene
SNRPB2	Gene
HNRNPR	Gene
DNAJC8	Gene
NUP214	Gene
HNRNPH2	Gene
SNRPN	Gene
PPIL4	Gene
THOC6	Gene
SNRPA1	Gene
NUP210	Gene
NXT1	Gene
CTNNBL1	Gene
SRRM1	Gene
RBM17	Gene
PRPF38A	Gene
HNRNPA1	Gene
DHX9	Gene
NUP42	Gene
SRSF1	Gene
TRA2B	Gene
WDR33	Gene
PRPF4	Gene
NCBP1	Gene
PPIL1	Gene
HNRNPD	Gene
NUP54	Gene
ZCRB1	Gene
SNRPF	Gene
NUP58	Gene
DHX38	Gene
EIF4A3	Gene
TXNL4A	Gene
PRCC	Gene
SF3B4	Gene
SNRPG	Gene
SNRNP200	Gene
POLR2D	Gene
FIP1L1	Gene
METTL14	Gene
DDX46	Gene
WTAP	Gene
RBMX	Gene
POLR2K	Gene
CPSF7	Gene
CWC15	Gene
EIF4E	Gene
CWC27	Gene
HNRNPU	Gene
RANBP2	Gene
NUP205	Gene
SEC13	Gene
U2AF1	Gene
CHTOP	Gene
CPSF4	Gene
U2AF1L4	Gene
SRSF2	Gene
SNRNP25	Gene
NXF1	Gene
MAGOH	Gene
NUP35	Gene
CWC22	Gene
THOC7	Gene
U2SURP	Gene
POLR2H	Gene
SLBP	Gene
SLU7	Gene
HNRNPK	Gene
PCF11	Gene
METTL3	Gene
CPSF2	Gene
NUDT21	Gene
SNRPD1	Gene
SRRM2	Gene
