nodes	type
1160	Gene
29920	Gene
4953	Gene
9955	Gene
10855	Gene
60495	Gene
2720	Gene
2990	Gene
8372	Gene
2799	Gene
23553	Gene
3373	Gene
8692	Gene
6677	Gene
138050	Gene
2588	Gene
3425	Gene
9953	Gene
6448	Gene
3074	Gene
4669	Gene
3073	Gene
3423	Gene
411	Gene
129642	Gene
57678	Gene
9388	Gene
8525	Gene
8526	Gene
8527	Gene
160851	Gene
154141	Gene
2710	Gene
84649	Gene
2712	Gene
2717	Gene
55750	Gene
26007	Gene
56894	Gene
158835	Gene
56895	Gene
231	Gene
5408	Gene
5407	Gene
5406	Gene
8694	Gene
4023	Gene
1609	Gene
1607	Gene
1608	Gene
10327	Gene
1606	Gene
8613	Gene
3990	Gene
9162	Gene
253558	Gene
84803	Gene
11343	Gene
137964	Gene
80339	Gene
8611	Gene
8612	Gene
10554	Gene
10555	Gene
1056	Gene
150763	Gene
8513	Gene
9514	Gene
130367	Gene
2581	Gene
166929	Gene
2629	Gene
56848	Gene
4759	Gene
4758	Gene
340485	Gene
7357	Gene
123099	Gene
410	Gene
8877	Gene
8879	Gene
10825	Gene
55627	Gene
259230	Gene
55331	Gene
64781	Gene
6610	Gene
339221	Gene
8560	Gene
81537	Gene
129807	Gene
125981	Gene
427	Gene
6609	Gene
9331	Gene
9517	Gene
10558	Gene
55512	Gene
2531	Gene
7368	Gene
56624	Gene
3725	Gene
4208	Gene
2005	Gene
2002	Gene
3727	Gene
4616	Gene
51776	Gene
3925	Gene
22800	Gene
4217	Gene
4214	Gene
4215	Gene
4216	Gene
6885	Gene
1326	Gene
207	Gene
208	Gene
409	Gene
929	Gene
408	Gene
4893	Gene
80824	Gene
63928	Gene
25780	Gene
4791	Gene
4790	Gene
4609	Gene
4776	Gene
1432	Gene
2318	Gene
2316	Gene
3845	Gene
2317	Gene
5613	Gene
7189	Gene
7042	Gene
1843	Gene
1844	Gene
7040	Gene
7186	Gene
627	Gene
23118	Gene
51295	Gene
7048	Gene
1849	Gene
7046	Gene
1847	Gene
1848	Gene
1845	Gene
7043	Gene
123745	Gene
1846	Gene
27091	Gene
27092	Gene
4763	Gene
81579	Gene
4773	Gene
115727	Gene
10746	Gene
4149	Gene
11221	Gene
2254	Gene
2253	Gene
2252	Gene
2251	Gene
2250	Gene
2248	Gene
2249	Gene
2246	Gene
2247	Gene
84867	Gene
26291	Gene
7850	Gene
5601	Gene
55799	Gene
5602	Gene
5600	Gene
10235	Gene
5320	Gene
5605	Gene
5321	Gene
5606	Gene
2122	Gene
5322	Gene
5603	Gene
5604	Gene
2263	Gene
5609	Gene
5922	Gene
23542	Gene
5923	Gene
5607	Gene
5924	Gene
2264	Gene
5608	Gene
23162	Gene
9064	Gene
836	Gene
7786	Gene
2261	Gene
2260	Gene
5921	Gene
2259	Gene
6196	Gene
6197	Gene
8822	Gene
8823	Gene
2255	Gene
2885	Gene
2256	Gene
2257	Gene
2258	Gene
5319	Gene
6195	Gene
7867	Gene
8517	Gene
3265	Gene
10369	Gene
8074	Gene
10368	Gene
2872	Gene
8817	Gene
6789	Gene
6788	Gene
9479	Gene
4342	Gene
5906	Gene
4137	Gene
5908	Gene
5532	Gene
5530	Gene
8912	Gene
8913	Gene
8911	Gene
468	Gene
10454	Gene
2353	Gene
9344	Gene
27330	Gene
5535	Gene
59283	Gene
5536	Gene
5533	Gene
59285	Gene
5534	Gene
59284	Gene
6416	Gene
1386	Gene
5159	Gene
8681	Gene
8491	Gene
8398	Gene
30814	Gene
8399	Gene
9448	Gene
9252	Gene
673	Gene
3551	Gene
100137049	Gene
4296	Gene
9254	Gene
3552	Gene
64600	Gene
1616	Gene
10000	Gene
10912	Gene
26281	Gene
5971	Gene
8550	Gene
6300	Gene
5970	Gene
2768	Gene
3312	Gene
3315	Gene
5801	Gene
8649	Gene
1647	Gene
4803	Gene
1649	Gene
9020	Gene
57551	Gene
5154	Gene
27006	Gene
5155	Gene
51701	Gene
5156	Gene
5566	Gene
5567	Gene
5058	Gene
5568	Gene
1398	Gene
994	Gene
1399	Gene
9175	Gene
26279	Gene
998	Gene
10125	Gene
781	Gene
782	Gene
6722	Gene
783	Gene
6655	Gene
784	Gene
785	Gene
1147	Gene
786	Gene
5579	Gene
5894	Gene
5578	Gene
7124	Gene
5062	Gene
8569	Gene
50487	Gene
5582	Gene
5778	Gene
9693	Gene
3305	Gene
773	Gene
3304	Gene
5880	Gene
3306	Gene
776	Gene
777	Gene
5881	Gene
774	Gene
3303	Gene
84647	Gene
775	Gene
1850	Gene
778	Gene
779	Gene
11184	Gene
7132	Gene
1852	Gene
5494	Gene
5495	Gene
5595	Gene
8986	Gene
93589	Gene
3310	Gene
5598	Gene
9965	Gene
5879	Gene
6654	Gene
5594	Gene
11072	Gene
5871	Gene
5599	Gene
1956	Gene
9261	Gene
1950	Gene
6237	Gene
51347	Gene
55970	Gene
4909	Gene
3553	Gene
22808	Gene
4908	Gene
3554	Gene
7157	Gene
355	Gene
3164	Gene
391013	Gene
356	Gene
4915	Gene
4914	Gene
11261	Gene
805	Gene
800	Gene
801	Gene
1579	Gene
10203	Gene
5739	Gene
94274	Gene
6093	Gene
10335	Gene
3710	Gene
140465	Gene
1909	Gene
2767	Gene
10672	Gene
2977	Gene
4638	Gene
109	Gene
4637	Gene
51806	Gene
108	Gene
107	Gene
27094	Gene
2776	Gene
2778	Gene
810	Gene
185	Gene
4629	Gene
808	Gene
5330	Gene
10242	Gene
114	Gene
23236	Gene
115	Gene
4660	Gene
112	Gene
113	Gene
5331	Gene
111	Gene
5332	Gene
10398	Gene
9826	Gene
3779	Gene
3778	Gene
387	Gene
4659	Gene
5583	Gene
5580	Gene
5581	Gene
5588	Gene
23365	Gene
85366	Gene
196883	Gene
5501	Gene
5499	Gene
5500	Gene
2983	Gene
2982	Gene
72	Gene
5592	Gene
135	Gene
10268	Gene
10267	Gene
59	Gene
10266	Gene
3708	Gene
136	Gene
3709	Gene
369	Gene
284541	Gene
4882	Gene
552	Gene
553	Gene
9475	Gene
4881	Gene
146	Gene
147	Gene
148	Gene
27345	Gene
9138	Gene
91807	Gene
163688	Gene
4041	Gene
4040	Gene
6423	Gene
6422	Gene
81839	Gene
8321	Gene
8322	Gene
10297	Gene
8323	Gene
8324	Gene
59343	Gene
8325	Gene
51176	Gene
1387	Gene
8326	Gene
144165	Gene
1488	Gene
1487	Gene
7484	Gene
7483	Gene
56998	Gene
23500	Gene
79718	Gene
4316	Gene
9350	Gene
57216	Gene
7482	Gene
7481	Gene
7480	Gene
27123	Gene
8312	Gene
8313	Gene
27121	Gene
10725	Gene
64321	Gene
1457	Gene
1459	Gene
1452	Gene
4775	Gene
1454	Gene
8945	Gene
6500	Gene
23291	Gene
9978	Gene
1460	Gene
6477	Gene
90665	Gene
81029	Gene
595	Gene
815	Gene
816	Gene
817	Gene
818	Gene
324	Gene
51384	Gene
23002	Gene
57680	Gene
10023	Gene
27101	Gene
894	Gene
4772	Gene
896	Gene
122011	Gene
11197	Gene
166336	Gene
64840	Gene
23401	Gene
89780	Gene
1857	Gene
1856	Gene
7976	Gene
22943	Gene
80319	Gene
1855	Gene
8061	Gene
8454	Gene
80326	Gene
54361	Gene
4088	Gene
6932	Gene
4089	Gene
6934	Gene
4087	Gene
7471	Gene
2033	Gene
7476	Gene
2932	Gene
7477	Gene
5663	Gene
7478	Gene
7479	Gene
7472	Gene
7473	Gene
7474	Gene
7475	Gene
1499	Gene
5516	Gene
5515	Gene
5518	Gene
6907	Gene
5519	Gene
85407	Gene
11211	Gene
7855	Gene
85409	Gene
83439	Gene
8607	Gene
5467	Gene
5525	Gene
5529	Gene
5528	Gene
5527	Gene
5526	Gene
2535	Gene
6425	Gene
6424	Gene
2147	Gene
2149	Gene
7450	Gene
3827	Gene
2244	Gene
5327	Gene
3053	Gene
4153	Gene
2152	Gene
2153	Gene
5265	Gene
5329	Gene
2155	Gene
5328	Gene
2159	Gene
2158	Gene
7035	Gene
2157	Gene
3818	Gene
1380	Gene
5648	Gene
735	Gene
2	Gene
1378	Gene
2161	Gene
2162	Gene
2160	Gene
731	Gene
2165	Gene
730	Gene
733	Gene
732	Gene
966	Gene
5104	Gene
2266	Gene
1604	Gene
729	Gene
728	Gene
727	Gene
623	Gene
725	Gene
722	Gene
721	Gene
720	Gene
624	Gene
3075	Gene
629	Gene
1361	Gene
4179	Gene
5627	Gene
5345	Gene
5624	Gene
2243	Gene
5054	Gene
5340	Gene
717	Gene
462	Gene
716	Gene
719	Gene
718	Gene
713	Gene
1675	Gene
712	Gene
715	Gene
714	Gene
3426	Gene
710	Gene
10747	Gene
7056	Gene
10818	Gene
5170	Gene
7161	Gene
25	Gene
399694	Gene
25970	Gene
4793	Gene
4792	Gene
4794	Gene
23533	Gene
27018	Gene
53358	Gene
4804	Gene
10019	Gene
1445	Gene
814	Gene
7529	Gene
596	Gene
2309	Gene
8660	Gene
6272	Gene
10603	Gene
5335	Gene
5336	Gene
7534	Gene
396	Gene
7533	Gene
397	Gene
7532	Gene
7531	Gene
5781	Gene
6464	Gene
8767	Gene
572	Gene
51135	Gene
9500	Gene
581	Gene
2889	Gene
57498	Gene
10971	Gene
11108	Gene
3656	Gene
3654	Gene
8503	Gene
11213	Gene
5290	Gene
5291	Gene
5293	Gene
2549	Gene
25759	Gene
3667	Gene
10782	Gene
5294	Gene
8471	Gene
5295	Gene
5296	Gene
4916	Gene
8883	Gene
487	Gene
9451	Gene
489	Gene
488	Gene
6868	Gene
25825	Gene
4311	Gene
55851	Gene
4035	Gene
348	Gene
824	Gene
823	Gene
317	Gene
51107	Gene
2597	Gene
22926	Gene
3416	Gene
102	Gene
8851	Gene
2081	Gene
23621	Gene
322	Gene
54205	Gene
23385	Gene
842	Gene
841	Gene
840	Gene
6263	Gene
8772	Gene
2902	Gene
2903	Gene
2904	Gene
637	Gene
2905	Gene
2906	Gene
5664	Gene
6622	Gene
351	Gene
1020	Gene
9246	Gene
7345	Gene
9627	Gene
5413	Gene
7327	Gene
7326	Gene
7416	Gene
7417	Gene
7419	Gene
118424	Gene
7332	Gene
7318	Gene
7317	Gene
293	Gene
292	Gene
291	Gene
6570	Gene
6571	Gene
7054	Gene
83447	Gene
5481	Gene
65018	Gene
51465	Gene
7314	Gene
5071	Gene
27429	Gene
11315	Gene
2861	Gene
6531	Gene
120892	Gene
5436	Gene
5437	Gene
5434	Gene
5435	Gene
10891	Gene
5438	Gene
5439	Gene
6874	Gene
4899	Gene
10540	Gene
90993	Gene
10488	Gene
5440	Gene
7350	Gene
8218	Gene
7802	Gene
5441	Gene
1385	Gene
3092	Gene
161	Gene
163	Gene
51164	Gene
6875	Gene
160	Gene
27019	Gene
25981	Gene
27113	Gene
84699	Gene
146754	Gene
6667	Gene
23186	Gene
7052	Gene
1639	Gene
5431	Gene
83544	Gene
5430	Gene
5433	Gene
5432	Gene
10126	Gene
2915	Gene
64446	Gene
55081	Gene
148327	Gene
7019	Gene
9001	Gene
246721	Gene
6647	Gene
6648	Gene
5978	Gene
548644	Gene
9586	Gene
25942	Gene
1742	Gene
387332	Gene
55567	Gene
2876	Gene
6908	Gene
1175	Gene
1173	Gene
64764	Gene
5468	Gene
1211	Gene
1212	Gene
1213	Gene
3065	Gene
3066	Gene
9519	Gene
3064	Gene
1869	Gene
6774	Gene
9459	Gene
6772	Gene
5888	Gene
5228	Gene
2064	Gene
675	Gene
7039	Gene
5925	Gene
3716	Gene
1029	Gene
7422	Gene
7424	Gene
7423	Gene
5899	Gene
598	Gene
5898	Gene
1019	Gene
2277	Gene
10928	Gene
5900	Gene
1871	Gene
1870	Gene
1021	Gene
5337	Gene
29894	Gene
10914	Gene
8106	Gene
1477	Gene
1478	Gene
22916	Gene
51692	Gene
8189	Gene
55339	Gene
4686	Gene
81608	Gene
79869	Gene
10898	Gene
51585	Gene
53981	Gene
11051	Gene
10978	Gene
1479	Gene
23283	Gene
1080	Gene
8379	Gene
23028	Gene
115703	Gene
9912	Gene
5048	Gene
27035	Gene
23221	Gene
695	Gene
7454	Gene
23279	Gene
51306	Gene
57514	Gene
55166	Gene
55789	Gene
7204	Gene
999	Gene
54908	Gene
1495	Gene
116984	Gene
395	Gene
57120	Gene
7984	Gene
1535	Gene
26999	Gene
2665	Gene
10787	Gene
5586	Gene
54763	Gene
25791	Gene
4649	Gene
5590	Gene
3796	Gene
55746	Gene
5217	Gene
79658	Gene
9886	Gene
54820	Gene
23332	Gene
50508	Gene
55160	Gene
79023	Gene
60	Gene
55843	Gene
113457	Gene
5063	Gene
1781	Gene
5289	Gene
4983	Gene
10403	Gene
7514	Gene
81929	Gene
2017	Gene
9183	Gene
79822	Gene
8655	Gene
51291	Gene
332	Gene
393	Gene
10726	Gene
64857	Gene
84144	Gene
4650	Gene
79019	Gene
4627	Gene
4689	Gene
5905	Gene
394	Gene
81027	Gene
22919	Gene
4168	Gene
2245	Gene
2491	Gene
8874	Gene
80152	Gene
171177	Gene
9639	Gene
10382	Gene
64130	Gene
23370	Gene
147700	Gene
85360	Gene
79784	Gene
94239	Gene
1124	Gene
8976	Gene
3984	Gene
23081	Gene
57584	Gene
5216	Gene
9828	Gene
4928	Gene
10094	Gene
1027	Gene
57122	Gene
8936	Gene
1894	Gene
26084	Gene
6242	Gene
10096	Gene
1058	Gene
7456	Gene
58480	Gene
9181	Gene
4688	Gene
991	Gene
25936	Gene
1063	Gene
9928	Gene
103910	Gene
23433	Gene
348995	Gene
64411	Gene
91687	Gene
81930	Gene
91614	Gene
4952	Gene
644150	Gene
11130	Gene
11113	Gene
5585	Gene
64105	Gene
64333	Gene
3071	Gene
10376	Gene
80776	Gene
57580	Gene
343578	Gene
8970	Gene
79902	Gene
9322	Gene
3831	Gene
23263	Gene
3895	Gene
57381	Gene
55288	Gene
89846	Gene
5300	Gene
7277	Gene
1123	Gene
58504	Gene
151648	Gene
9754	Gene
10095	Gene
27237	Gene
6249	Gene
23229	Gene
1729	Gene
85415	Gene
3021	Gene
10810	Gene
4628	Gene
90627	Gene
4221	Gene
10451	Gene
55143	Gene
9743	Gene
1783	Gene
50649	Gene
10006	Gene
84904	Gene
89953	Gene
7280	Gene
347733	Gene
57569	Gene
57082	Gene
9411	Gene
10097	Gene
79172	Gene
10152	Gene
83478	Gene
10144	Gene
1062	Gene
121512	Gene
54509	Gene
81624	Gene
10499	Gene
8826	Gene
55114	Gene
89941	Gene
84643	Gene
7409	Gene
354	Gene
128272	Gene
23421	Gene
11004	Gene
83540	Gene
6279	Gene
388	Gene
51143	Gene
1060	Gene
10788	Gene
23092	Gene
255626	Gene
221472	Gene
93663	Gene
26230	Gene
1730	Gene
158763	Gene
80728	Gene
3619	Gene
79980	Gene
3688	Gene
79682	Gene
112714	Gene
57405	Gene
64946	Gene
5903	Gene
25909	Gene
84033	Gene
9184	Gene
220134	Gene
389	Gene
3798	Gene
7074	Gene
701	Gene
6396	Gene
114793	Gene
4690	Gene
114822	Gene
10163	Gene
3017	Gene
995	Gene
8365	Gene
653361	Gene
1780	Gene
201176	Gene
29	Gene
2909	Gene
8997	Gene
7410	Gene
29941	Gene
11243	Gene
91010	Gene
29127	Gene
147841	Gene
10092	Gene
3020	Gene
9938	Gene
6280	Gene
10109	Gene
151246	Gene
23122	Gene
50650	Gene
3015	Gene
4085	Gene
117289	Gene
10395	Gene
1536	Gene
94134	Gene
55701	Gene
143872	Gene
55839	Gene
81565	Gene
5347	Gene
7846	Gene
84790	Gene
3817	Gene
79003	Gene
399	Gene
367	Gene
5747	Gene
699	Gene
3799	Gene
11214	Gene
147179	Gene
57449	Gene
1072	Gene
29984	Gene
286205	Gene
10276	Gene
55055	Gene
64837	Gene
9793	Gene
392	Gene
378708	Gene
2810	Gene
10458	Gene
84617	Gene
391	Gene
6232	Gene
79861	Gene
9212	Gene
55920	Gene
23526	Gene
8334	Gene
8347	Gene
3985	Gene
348235	Gene
389337	Gene
653604	Gene
51807	Gene
128239	Gene
71	Gene
8338	Gene
9735	Gene
8349	Gene
752	Gene
8340	Gene
257106	Gene
4771	Gene
116985	Gene
613	Gene
54821	Gene
10383	Gene
401541	Gene
3014	Gene
10811	Gene
9901	Gene
51466	Gene
124056	Gene
30849	Gene
57591	Gene
3013	Gene
128312	Gene
57522	Gene
8364	Gene
1778	Gene
6714	Gene
8356	Gene
8363	Gene
8351	Gene
121504	Gene
85236	Gene
7278	Gene
9824	Gene
22899	Gene
9055	Gene
126961	Gene
8337	Gene
333932	Gene
2664	Gene
3633	Gene
6453	Gene
445328	Gene
84986	Gene
51517	Gene
30851	Gene
100271715	Gene
8341	Gene
54145	Gene
54848	Gene
23779	Gene
10093	Gene
10552	Gene
398	Gene
80086	Gene
55766	Gene
55845	Gene
10381	Gene
347688	Gene
140735	Gene
23380	Gene
554313	Gene
8370	Gene
723790	Gene
8362	Gene
8342	Gene
23191	Gene
8339	Gene
8355	Gene
474382	Gene
