SYMBOL	GO TERM	GO NAME	TAXON ID
TAF9B	GO:0006974	cellular response to DNA damage stimulus	9606
WNT1	GO:0006974	cellular response to DNA damage stimulus	9606
DDX39B	GO:0006974	cellular response to DNA damage stimulus	9606
PARG	GO:0006974	cellular response to DNA damage stimulus	9606
GTF2H5	GO:0006974	cellular response to DNA damage stimulus	9606
MAGEF1	GO:0006974	cellular response to DNA damage stimulus	9606
A8MVJ9	GO:0006974	cellular response to DNA damage stimulus	9606
CLSPN	GO:0006974	cellular response to DNA damage stimulus	9606
DDX1	GO:0006974	cellular response to DNA damage stimulus	9606
PMAIP1	GO:0006974	cellular response to DNA damage stimulus	9606
SWSAP1	GO:0006974	cellular response to DNA damage stimulus	9606
MNDA	GO:0006974	cellular response to DNA damage stimulus	9606
ACKR3	GO:0006974	cellular response to DNA damage stimulus	9606
PPP4C	GO:0006974	cellular response to DNA damage stimulus	9606
CHEK1	GO:0006974	cellular response to DNA damage stimulus	9606
CRIP1	GO:0006974	cellular response to DNA damage stimulus	9606
TPT1	GO:0006974	cellular response to DNA damage stimulus	9606
NEK1	GO:0006974	cellular response to DNA damage stimulus	9606
APC	GO:0006974	cellular response to DNA damage stimulus	9606
COPS4	GO:0006974	cellular response to DNA damage stimulus	9606
PALB2	GO:0006974	cellular response to DNA damage stimulus	9606
SLX4	GO:0006974	cellular response to DNA damage stimulus	9606
GTF2H4	GO:0006974	cellular response to DNA damage stimulus	9606
SMC5	GO:0006974	cellular response to DNA damage stimulus	9606
CENPX	GO:0006974	cellular response to DNA damage stimulus	9606
CDKN1A	GO:0006974	cellular response to DNA damage stimulus	9606
YAP1	GO:0006974	cellular response to DNA damage stimulus	9606
SFR1	GO:0006974	cellular response to DNA damage stimulus	9606
HELQ	GO:0006974	cellular response to DNA damage stimulus	9606
PLK1	GO:0006974	cellular response to DNA damage stimulus	9606
ZNF771	GO:0006974	cellular response to DNA damage stimulus	9606
BARD1	GO:0006974	cellular response to DNA damage stimulus	9606
DNAJA1	GO:0006974	cellular response to DNA damage stimulus	9606
BRCA1	GO:0006974	cellular response to DNA damage stimulus	9606
PHLDA3	GO:0006974	cellular response to DNA damage stimulus	9606
RNASEH2B	GO:0006974	cellular response to DNA damage stimulus	9606
RPS27L	GO:0006974	cellular response to DNA damage stimulus	9606
SPIRE2	GO:0006974	cellular response to DNA damage stimulus	9606
TWIST1	GO:0006974	cellular response to DNA damage stimulus	9606
TRIP13	GO:0006974	cellular response to DNA damage stimulus	9606
SPIRE1	GO:0006974	cellular response to DNA damage stimulus	9606
NKX3-1	GO:0006974	cellular response to DNA damage stimulus	9606
SETMAR	GO:0006974	cellular response to DNA damage stimulus	9606
TDG	GO:0006974	cellular response to DNA damage stimulus	9606
MCMDC2	GO:0006974	cellular response to DNA damage stimulus	9606
BCLAF1	GO:0006974	cellular response to DNA damage stimulus	9606
INTS3	GO:0006974	cellular response to DNA damage stimulus	9606
XRCC1	GO:0006974	cellular response to DNA damage stimulus	9606
SLFN11	GO:0006974	cellular response to DNA damage stimulus	9606
RTEL1	GO:0006974	cellular response to DNA damage stimulus	9606
PLK2	GO:0006974	cellular response to DNA damage stimulus	9606
GTSE1	GO:0006974	cellular response to DNA damage stimulus	9606
CYREN	GO:0006974	cellular response to DNA damage stimulus	9606
DCLRE1A	GO:0006974	cellular response to DNA damage stimulus	9606
SIRT6	GO:0006974	cellular response to DNA damage stimulus	9606
HUWE1	GO:0006974	cellular response to DNA damage stimulus	9606
BRIP1	GO:0006974	cellular response to DNA damage stimulus	9606
SP100	GO:0006974	cellular response to DNA damage stimulus	9606
CCDC155	GO:0006974	cellular response to DNA damage stimulus	9606
NFATC2	GO:0006974	cellular response to DNA damage stimulus	9606
PDS5A	GO:0006974	cellular response to DNA damage stimulus	9606
TAOK2	GO:0006974	cellular response to DNA damage stimulus	9606
CDIP1	GO:0006974	cellular response to DNA damage stimulus	9606
CD74	GO:0006974	cellular response to DNA damage stimulus	9606
XRCC4	GO:0006974	cellular response to DNA damage stimulus	9606
CNOT2	GO:0006974	cellular response to DNA damage stimulus	9606
NOP53	GO:0006974	cellular response to DNA damage stimulus	9606
UBE2V1	GO:0006974	cellular response to DNA damage stimulus	9606
PMS2P3	GO:0006974	cellular response to DNA damage stimulus	9606
BAG6	GO:0006974	cellular response to DNA damage stimulus	9606
RBM24	GO:0006974	cellular response to DNA damage stimulus	9606
SMARCAL1	GO:0006974	cellular response to DNA damage stimulus	9606
C9orf116	GO:0006974	cellular response to DNA damage stimulus	9606
BRAT1	GO:0006974	cellular response to DNA damage stimulus	9606
RPL26	GO:0006974	cellular response to DNA damage stimulus	9606
POLR2F	GO:0006974	cellular response to DNA damage stimulus	9606
COPS2	GO:0006974	cellular response to DNA damage stimulus	9606
MSH4	GO:0006974	cellular response to DNA damage stimulus	9606
FIGNL1	GO:0006974	cellular response to DNA damage stimulus	9606
DONSON	GO:0006974	cellular response to DNA damage stimulus	9606
MTA1	GO:0006974	cellular response to DNA damage stimulus	9606
ATM	GO:0006974	cellular response to DNA damage stimulus	9606
TIPIN	GO:0006974	cellular response to DNA damage stimulus	9606
HUS1	GO:0006974	cellular response to DNA damage stimulus	9606
USP28	GO:0006974	cellular response to DNA damage stimulus	9606
PAXX	GO:0006974	cellular response to DNA damage stimulus	9606
PPM1D	GO:0006974	cellular response to DNA damage stimulus	9606
FANCG	GO:0006974	cellular response to DNA damage stimulus	9606
UIMC1	GO:0006974	cellular response to DNA damage stimulus	9606
REXO4	GO:0006974	cellular response to DNA damage stimulus	9606
CBX3	GO:0006974	cellular response to DNA damage stimulus	9606
TFIP11	GO:0006974	cellular response to DNA damage stimulus	9606
RPA4	GO:0006974	cellular response to DNA damage stimulus	9606
PAK1	GO:0006974	cellular response to DNA damage stimulus	9606
CHAF1B	GO:0006974	cellular response to DNA damage stimulus	9606
CHAF1A	GO:0006974	cellular response to DNA damage stimulus	9606
BRD4	GO:0006974	cellular response to DNA damage stimulus	9606
MIF	GO:0006974	cellular response to DNA damage stimulus	9606
MMS22L	GO:0006974	cellular response to DNA damage stimulus	9606
FAAP24	GO:0006974	cellular response to DNA damage stimulus	9606
GINS4	GO:0006974	cellular response to DNA damage stimulus	9606
ACTR5	GO:0006974	cellular response to DNA damage stimulus	9606
DHX9	GO:0006974	cellular response to DNA damage stimulus	9606
CHCHD6	GO:0006974	cellular response to DNA damage stimulus	9606
RAD1	GO:0006974	cellular response to DNA damage stimulus	9606
RMI1	GO:0006974	cellular response to DNA damage stimulus	9606
CNOT10	GO:0006974	cellular response to DNA damage stimulus	9606
ZBTB40	GO:0006974	cellular response to DNA damage stimulus	9606
NUDT16L1	GO:0006974	cellular response to DNA damage stimulus	9606
GEN1	GO:0006974	cellular response to DNA damage stimulus	9606
ARMT1	GO:0006974	cellular response to DNA damage stimulus	9606
ACTR8	GO:0006974	cellular response to DNA damage stimulus	9606
WDR76	GO:0006974	cellular response to DNA damage stimulus	9606
AKTIP	GO:0006974	cellular response to DNA damage stimulus	9606
SKIL	GO:0006974	cellular response to DNA damage stimulus	9606
FOXO4	GO:0006974	cellular response to DNA damage stimulus	9606
XIAP	GO:0006974	cellular response to DNA damage stimulus	9606
COPS3	GO:0006974	cellular response to DNA damage stimulus	9606
ZNF652	GO:0006974	cellular response to DNA damage stimulus	9606
ERCC3	GO:0006974	cellular response to DNA damage stimulus	9606
TNFRSF1A	GO:0006974	cellular response to DNA damage stimulus	9606
FBXO31	GO:0006974	cellular response to DNA damage stimulus	9606
MGME1	GO:0006974	cellular response to DNA damage stimulus	9606
