pathway	entrezgene
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	3592
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	3791
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	7133
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	3451
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	7132
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	3452
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	8784
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	3443
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	1232
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	51330
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	3444
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	1233
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	3445
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	1234
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	3446
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	1235
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	3447
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	1236
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	3448
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	1237
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	3449
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	55801
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	58191
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	3586
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	60401
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	3587
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	3588
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	2057
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	3589
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	3563
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	3562
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	3561
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	1956
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	3560
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	1230
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	6846
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	3460
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	1950
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	6346
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	8797
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	3458
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	3459
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	8793
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	3456
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	8792
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	8795
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	3454
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	8794
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	3455
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	3556
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	3553
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	269
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	3554
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	268
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	3559
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	53833
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	59067
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	8995
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	3558
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	53832
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	659
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	657
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	3570
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	658
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	64109
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	3572
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	56832
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	3574
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	5196
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	2920
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	2921
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	650
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	5197
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	655
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	282617
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	282618
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	27242
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	355
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	282616
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	356
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	3467
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	5473
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	85480
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	3565
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	3566
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	3567
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	3568
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	3569
KEGG CHEMOKINE SIGNALING PATHWAY	10344
KEGG CHEMOKINE SIGNALING PATHWAY	6774
KEGG CHEMOKINE SIGNALING PATHWAY	6772
KEGG CHEMOKINE SIGNALING PATHWAY	6773
KEGG CHEMOKINE SIGNALING PATHWAY	6349
KEGG CHEMOKINE SIGNALING PATHWAY	6347
KEGG CHEMOKINE SIGNALING PATHWAY	59345
KEGG CHEMOKINE SIGNALING PATHWAY	6348
KEGG CHEMOKINE SIGNALING PATHWAY	157
KEGG CHEMOKINE SIGNALING PATHWAY	156
KEGG CHEMOKINE SIGNALING PATHWAY	6352
KEGG CHEMOKINE SIGNALING PATHWAY	6351
KEGG CHEMOKINE SIGNALING PATHWAY	1524
KEGG CHEMOKINE SIGNALING PATHWAY	6357
KEGG CHEMOKINE SIGNALING PATHWAY	6356
KEGG CHEMOKINE SIGNALING PATHWAY	6355
KEGG CHEMOKINE SIGNALING PATHWAY	6354
KEGG CHEMOKINE SIGNALING PATHWAY	414062
KEGG CHEMOKINE SIGNALING PATHWAY	6093
KEGG CHEMOKINE SIGNALING PATHWAY	5747
KEGG CHEMOKINE SIGNALING PATHWAY	673
KEGG CHEMOKINE SIGNALING PATHWAY	9547
KEGG CHEMOKINE SIGNALING PATHWAY	7409
KEGG CHEMOKINE SIGNALING PATHWAY	6358
