SYMBOL	GO.TERM	entrezgene_id
COLEC11	GO:0006915	78989
COMP	GO:0006915	1311
COPS5	GO:0006915	10987
CORO1A	GO:0006915	11151
CPEB4	GO:0006915	80315
CRADD	GO:0006915	8738
CREB1	GO:0006915	1385
CREB3	GO:0006915	10488
CREB3L1	GO:0006915	90993
CREBBP	GO:0006915	1387
CRH	GO:0006915	1392
CRIP1	GO:0006915	1396
CRKL	GO:0006915	1399
CRLF1	GO:0006915	9244
CRYAA	GO:0006915	1409
CRYAB	GO:0006915	1410
CRYBA1	GO:0006915	1411
CSF1R	GO:0006915	1436
CSF2	GO:0006915	1437
CSNK2A1	GO:0006915	1457
CSNK2A2	GO:0006915	1459
CSRNP1	GO:0006915	64651
CSRNP2	GO:0006915	81566
CSRNP3	GO:0006915	80034
CTH	GO:0006915	1491
CTLA4	GO:0006915	1493
CTNNA1	GO:0006915	1495
CTNNB1	GO:0006915	1499
CTNNBL1	GO:0006915	56259
CTSB	GO:0006915	1508
CTSC	GO:0006915	1075
CTSD	GO:0006915	1509
CTSH	GO:0006915	1512
CTSL	GO:0006915	1514
CTSZ	GO:0006915	1522
CTTN	GO:0006915	2017
CUL1	GO:0006915	8454
CUL2	GO:0006915	8453
CUL3	GO:0006915	8452
CUL4A	GO:0006915	8451
CUL5	GO:0006915	8065
CX3CL1	GO:0006915	6376
CX3CR1	GO:0006915	1524
CXCL10	GO:0006915	3627
CXCL12	GO:0006915	6387
CXCR2	GO:0006915	3579
CXCR3	GO:0006915	2833
CXCR4	GO:0006915	7852
CYCS	GO:0006915	54205
CYFIP2	GO:0006915	26999
CYLD	GO:0006915	1540
CYP1B1	GO:0006915	1545
DAB2	GO:0006915	112267931
DAB2	GO:0006915	1601
DAB2IP	GO:0006915	153090
DAD1	GO:0006915	1603
DAP	GO:0006915	1611
DAP3	GO:0006915	7818
DAPK1	GO:0006915	1612
DAPK2	GO:0006915	23604
DAPK3	GO:0006915	1613
DAPL1	GO:0006915	92196
DAXX	GO:0006915	1616
DAXX	GO:0006915	113523636
DBH	GO:0006915	1621
DCC	GO:0006915	1630
DCUN1D3	GO:0006915	123879
DDAH2	GO:0006915	23564
DDB1	GO:0006915	1642
DDIAS	GO:0006915	220042
DDIT3	GO:0006915	1649
DDIT4	GO:0006915	54541
DDRGK1	GO:0006915	65992
DDX20	GO:0006915	11218
DDX3X	GO:0006915	1654
DDX41	GO:0006915	51428
DDX42	GO:0006915	11325
DDX47	GO:0006915	51202
DDX5	GO:0006915	1655
DEDD	GO:0006915	9191
DEDD2	GO:0006915	162989
DELE1	GO:0006915	9812
DEPTOR	GO:0006915	64798
DFFA	GO:0006915	1676
DFFB	GO:0006915	1677
DHCR24	GO:0006915	1718
DHODH	GO:0006915	1723
DHRS2	GO:0006915	10202
DIABLO	GO:0006915	56616
DICER1	GO:0006915	23405
DIDO1	GO:0006915	11083
DIO3	GO:0006915	1735
DIP2A	GO:0006915	23181
DIPK2A	GO:0006915	205428
DKK1	GO:0006915	22943
DKKL1	GO:0006915	27120
DLC1	GO:0006915	10395
DLG5	GO:0006915	9231
DLL1	GO:0006915	28514
DLX1	GO:0006915	1745
DMPK	GO:0006915	1760
DNAJA1	GO:0006915	3301
DNAJA3	GO:0006915	9093
DNAJB6	GO:0006915	10049
DNAJC10	GO:0006915	54431
DNAJC3	GO:0006915	5611
DNAJC5	GO:0006915	80331
DNASE1	GO:0006915	1773
DNASE1L3	GO:0006915	1776
DNASE2	GO:0006915	1777
DNASE2B	GO:0006915	58511
DNM1L	GO:0006915	10059
DNM2	GO:0006915	1785
DNMT1	GO:0006915	1786
DNMT3A	GO:0006915	1788
DOCK1	GO:0006915	1793
DOCK8	GO:0006915	81704
DPEP1	GO:0006915	1800
DPF1	GO:0006915	8193
DPF2	GO:0006915	5977
DPP8	GO:0006915	54878
DRAM1	GO:0006915	55332
DRAM2	GO:0006915	128338
DRAXIN	GO:0006915	374946
DRD3	GO:0006915	1814
DSTYK	GO:0006915	25778
DUSP1	GO:0006915	1843
DUSP6	GO:0006915	1848
DUX4	GO:0006915	100288687
DYNAP	GO:0006915	284254
DYNLL1	GO:0006915	8655
DYRK2	GO:0006915	8445
DYRK3	GO:0006915	8444
E2F1	GO:0006915	1869
E2F2	GO:0006915	1870
E2F3	GO:0006915	1871
EAF2	GO:0006915	55840
EBAG9	GO:0006915	9166
ECSCR	GO:0006915	641700
ECT2	GO:0006915	1894
EDA2R	GO:0006915	60401
EDAR	GO:0006915	10913
EDN1	GO:0006915	1906
EDNRB	GO:0006915	1910
EEF1A2	GO:0006915	1917
EEF1E1	GO:0006915	9521
EEF2K	GO:0006915	29904
EFNA1	GO:0006915	1942
EGFR	GO:0006915	1956
EGLN2	GO:0006915	112398
EGLN3	GO:0006915	112399
EGR1	GO:0006915	1958
EGR3	GO:0006915	1960
EI24	GO:0006915	9538
EIF2AK2	GO:0006915	5610
EIF2AK3	GO:0006915	9451
EIF2B5	GO:0006915	8893
EIF2S1	GO:0006915	1965
EIF5A	GO:0006915	1984
ELL3	GO:0006915	80237
ELMO1	GO:0006915	9844
ELMO2	GO:0006915	63916
ELMO3	GO:0006915	79767
EMC4	GO:0006915	51234
EN1	GO:0006915	2019
EN2	GO:0006915	2020
ENDOG	GO:0006915	2021
ENO1	GO:0006915	2023
EP300	GO:0006915	2033
EPB41L3	GO:0006915	23136
EPCAM	GO:0006915	4072
EPHA2	GO:0006915	1969
EPHA7	GO:0006915	2045
EPO	GO:0006915	2056
ERBB3	GO:0006915	2065
ERBB4	GO:0006915	2066
ERC1	GO:0006915	23085
ERCC2	GO:0006915	2068
ERCC3	GO:0006915	2071
ERCC5	GO:0006915	100533467
ERCC5	GO:0006915	2073
ERCC6	GO:0006915	267004
ERCC6	GO:0006915	2074
ERN1	GO:0006915	2081
ERO1A	GO:0006915	30001
ERP29	GO:0006915	10961
ESPL1	GO:0006915	9700
ESR1	GO:0006915	2099
ETV6	GO:0006915	2120
EVA1A	GO:0006915	84141
EVI2B	GO:0006915	2124
EXOC5	GO:0006915	10640
EXOG	GO:0006915	9941
EYA1	GO:0006915	2138
EYA2	GO:0006915	2139
EYA3	GO:0006915	2140
EYA4	GO:0006915	2070
F2R	GO:0006915	2149
F3	GO:0006915	2152
FABP1	GO:0006915	2168
FADD	GO:0006915	8772
FAF1	GO:0006915	11124
FAIM	GO:0006915	55179
FAIM2	GO:0006915	23017
FAM162A	GO:0006915	26355
