nodes	type
REACTOME ACTIVATION OF NMDA RECEPTORS AND POSTSYNAPTIC EVENTS	Pathway
REACTOME RAS ACTIVATION UPON CA2PLUS INFLUX THROUGH NMDA RECEPTOR	Pathway
REACTOME INTERLEUKIN 1 FAMILY SIGNALING	Pathway
REACTOME INTERLEUKIN 12 FAMILY SIGNALING	Pathway
REACTOME INTERLEUKIN 17 SIGNALING	Pathway
REACTOME OTHER INTERLEUKIN SIGNALING	Pathway
REACTOME ACTIVATION OF THE AP 1 FAMILY OF TRANSCRIPTION FACTORS	Pathway
REACTOME INTERLEUKIN 2 FAMILY SIGNALING	Pathway
REACTOME DEGRADATION OF AXIN	Pathway
REACTOME DEGRADATION OF DVL	Pathway
REACTOME DISASSEMBLY OF THE DESTRUCTION COMPLEX AND RECRUITMENT OF AXIN TO THE MEMBRANE	Pathway
REACTOME SUMOYLATION OF IMMUNE RESPONSE PROTEINS	Pathway
REACTOME SIGNALING BY WNT IN CANCER	Pathway
REACTOME CHROMATIN ORGANIZATION	Pathway
REACTOME PHOSPHORYLATION SITE MUTANTS OF CTNNB1 ARE NOT TARGETED TO THE PROTEASOME BY THE DESTRUCTION COMPLEX	Pathway
REACTOME INTERCONVERSION OF NUCLEOTIDE DI AND TRIPHOSPHATES	Pathway
REACTOME INTERLEUKIN 3 INTERLEUKIN 5 AND GM CSF SIGNALING	Pathway
REACTOME MITOPHAGY	Pathway
REACTOME PINK PARKIN MEDIATED MITOPHAGY	Pathway
REACTOME REGULATED NECROSIS	Pathway
