source	target
KEGG RNA DEGRADATION	22803
KEGG RNA DEGRADATION	56915
KEGG RNA DEGRADATION	9652
KEGG RNA DEGRADATION	11157
KEGG RNA DEGRADATION	51010
KEGG RNA DEGRADATION	51013
KEGG RNA DEGRADATION	23644
KEGG RNA DEGRADATION	4849
KEGG RNA DEGRADATION	4848
KEGG RNA DEGRADATION	54464
KEGG RNA DEGRADATION	5073
KEGG RNA DEGRADATION	10438
KEGG RNA DEGRADATION	10914
KEGG RNA DEGRADATION	1656
KEGG RNA DEGRADATION	55802
KEGG RNA DEGRADATION	84186
KEGG RNA DEGRADATION	2023
KEGG RNA DEGRADATION	4850
KEGG RNA DEGRADATION	29883
KEGG RNA DEGRADATION	11044
KEGG RNA DEGRADATION	11340
KEGG RNA DEGRADATION	3313
KEGG RNA DEGRADATION	27257
KEGG RNA DEGRADATION	246175
KEGG RNA DEGRADATION	118460
KEGG RNA DEGRADATION	51690
KEGG RNA DEGRADATION	51691
KEGG RNA DEGRADATION	9125
KEGG RNA DEGRADATION	25804
KEGG RNA DEGRADATION	23019
KEGG RNA DEGRADATION	25904
KEGG RNA DEGRADATION	23016
KEGG RNA DEGRADATION	27258
KEGG RNA DEGRADATION	22894
KEGG RNA DEGRADATION	2027
KEGG RNA DEGRADATION	2026
KEGG RNA DEGRADATION	57472
KEGG RNA DEGRADATION	57819
KEGG RNA DEGRADATION	167227
KEGG RNA DEGRADATION	3329
KEGG RNA DEGRADATION	5393
KEGG RNA DEGRADATION	5394
KEGG RNA DEGRADATION	80153
KEGG RNA DEGRADATION	28960
KEGG RNA DEGRADATION	56903
KEGG RNA DEGRADATION	196513
KEGG RNA DEGRADATION	80349
KEGG RNA DEGRADATION	9337
KEGG RNA DEGRADATION	64895
KEGG RNA POLYMERASE	5436
KEGG RNA POLYMERASE	5437
KEGG RNA POLYMERASE	5434
KEGG RNA POLYMERASE	5435
KEGG RNA POLYMERASE	9533
KEGG RNA POLYMERASE	5438
KEGG RNA POLYMERASE	5439
KEGG RNA POLYMERASE	661
KEGG RNA POLYMERASE	51082
KEGG RNA POLYMERASE	51728
KEGG RNA POLYMERASE	84265
KEGG RNA POLYMERASE	84172
KEGG RNA POLYMERASE	5440
KEGG RNA POLYMERASE	246721
KEGG RNA POLYMERASE	5441
KEGG RNA POLYMERASE	171568
KEGG RNA POLYMERASE	64425
KEGG RNA POLYMERASE	548644
KEGG RNA POLYMERASE	25885
KEGG RNA POLYMERASE	10623
KEGG RNA POLYMERASE	5431
KEGG RNA POLYMERASE	11128
KEGG RNA POLYMERASE	10622
KEGG RNA POLYMERASE	55703
KEGG RNA POLYMERASE	5430
KEGG RNA POLYMERASE	10621
KEGG RNA POLYMERASE	5433
